X,Y,RETICLE_SHOT,COL|ROW
66.311,-20.061,S-1_-4,C2R3
63.721,-20.061,S-1_-4,C2R4
61.13,-20.061,S-1_-4,C2R5
80.562,-16.061,S-1_-4,C3R0
75.38,-16.061,S-1_-4,C3R1
70.198,-16.061,S-1_-4,C3R2
66.311,-16.061,S-1_-4,C3R3
63.721,-16.061,S-1_-4,C3R4
61.13,-16.061,S-1_-4,C3R5
80.562,-12.061,S-1_-4,C4R0
75.38,-12.061,S-1_-4,C4R1
70.198,-12.061,S-1_-4,C4R2
66.311,-12.061,S-1_-4,C4R3
63.721,-12.061,S-1_-4,C4R4
61.13,-12.061,S-1_-4,C4R5
80.562,-8.061,S-1_-4,C5R0
75.38,-8.061,S-1_-4,C5R1
70.198,-8.061,S-1_-4,C5R2
66.311,-8.061,S-1_-4,C5R3
63.721,-8.061,S-1_-4,C5R4
61.13,-8.061,S-1_-4,C5R5
80.562,-5.061,S-1_-4,C6R0
75.38,-5.061,S-1_-4,C6R1
70.198,-5.061,S-1_-4,C6R2
66.311,-5.061,S-1_-4,C6R3
63.721,-5.061,S-1_-4,C6R4
61.13,-5.061,S-1_-4,C6R5
80.562,-3.061,S-1_-4,C7R0
75.38,-3.061,S-1_-4,C7R1
70.198,-3.061,S-1_-4,C7R2
66.311,-3.061,S-1_-4,C7R3
